id,idade,renda,categoria,nota,cidade_Belo Horizonte,cidade_Desconhecido,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,feedback_Bom,feedback_Desconhecido,feedback_Regular,feedback_Ruim
1,-0.28362922370202165,-0.6079042163050524,A,-0.1553718769224565,1,0,0,0,0,1,0,0,0
2,1.3013763460485266,0.705362524075649,B,0.15723857250192042,1,0,0,0,0,0,0,0,1
3,1.111175677678461,0.5442445171982988,B,0.018300594979975056,0,0,0,1,0,0,0,0,1
4,1.111175677678461,0.4115731525256723,A,-1.093203225195587,0,0,1,0,0,1,0,0,0
5,0.6039738953582854,-1.079967374646943,B,0.19197306688240662,0,0,0,0,1,1,0,0,0
6,-1.2980327883423726,0.10269744500905026,B,-0.884796258912669,0,0,1,0,0,0,0,1,0
7,-1.5516336795024603,-1.394528827151786,A,-0.6763892926297511,1,0,0,0,0,0,0,0,1
8,1.3647765688385487,-0.8973904583760238,A,-0.537451315107806,1,0,0,0,0,0,0,1,0
9,-1.2346325655523507,-0.31006255696672685,A,-0.1901063713029427,0,0,0,0,1,0,0,1,0
10,-1.6784341250825041,0.3499288070467617,A,-1.1626722139565595,1,0,0,0,0,0,0,1,0
11,0.2235725586181538,-1.132402246626025,A,-0.1553718769224565,0,0,0,1,0,0,0,0,1
12,0.09677211303810995,-0.5213936951344842,B,-1.4058136746199636,1,0,0,0,0,1,0,0,0
13,-0.6006303376521314,-0.6890992826021786,A,-0.32904434882488803,0,0,0,1,0,1,0,0,0
14,1.6183774599986362,1.5399516496286878,A,-1.4058136746199636,0,0,0,1,0,0,0,0,1
15,0.5405736725682635,-1.1926191834366742,A,1.5466183477213729,1,0,0,0,0,1,0,0,0
16,-1.2980327883423726,0.329291105569033,B,0.6087869994482424,0,0,0,1,0,1,0,0,0
17,0.4137732269882196,-0.29515539363626514,B,1.6160873364823451,0,0,0,0,1,1,0,0,0
18,-1.6150339022924822,-0.8842391868801598,B,0.018300594979975056,0,0,0,1,0,0,0,1,0
